"";"p1.trabajo";"p2.horastrabajo";"p3.contrato";"p4.otrocontrato";"p5.pago";"p6.empleador";"p7.otroempleador";"p8.lugartrabajo";"p9.otrolugartrabajo";"p10.ingresosoctubre";"p11.cambiooctubre";"p12.ingresocovid";"p13.cambiocovid";"p14.satisfaccionlaboral";"p15.satisfaccionsalud";"p16.satisfacciongeneral";"p17.octubre.igual";"p18.octubre.pierdetrabajo";"p19.octubre.encuentratrabajo";"p20.octubre.animo";"p21.octubre.familia";"p22.octubre.salud";"p23.octubre.otro";"p24.covid.igual";"p25.covid.pierdetrabajo";"p26.covid.encuentratrabajo";"p27.covid.animo";"p28.covid.emocional";"p29.covid.salud";"p30.covid.otro";"p31.proyeccionlaboral";"p32.cuali";"p33.cuanti";"p34.gestionpublica";"p35.intervencion";"p36.proyectos";"p37.teoria";"p38.general";"p39.software";"p40.mercado";"p41.otros";"p42.honorarios";"p43.boletas2018";"p44.boletas2019";"p45.boletas2020";"p46.fuenteingreso2018";"p47.fuenteingreso2019";"p48.fuenteingreso2020";"p49.afectohonorarios";"p50.gradoacademico";"p51.titulo";"p52.universidad";"p53.comunaresidencia";"p54.comunatrabajo";"p55.edad";"p56.genero";"p57.asociado";"p58.interescolegiarse"
"1";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"Si";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Satisfecho";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";"Proyectos sociales e intervención social";"Muy interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Recolección de datos de investigación";"Si";3;0;1;"No";"No";"Si";"No";"Licenciado";"Si";"Universidad central";"Antofagasta";"Estoy desempleada";34;"Femenino";"No";"Si"
"2";"Trabajo dependiente remunerado";40;"Contrato indefinido";"";"Recibe una liquidación de sueldo";NA;"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;NA;"Nuevas conversaciones";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"Salud laboral";"Muy interesado";"Muy interesado";"Poco";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Interesado";"Salud laboral
Sociología del trabajo";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Artes y ciencias SOCIALES ARCIS";"Viña del mar";"Viña del mar";35;"Masculino";"No";"Si"
"3";"Trabajo independiente remunerado";45;"Contrato a honorarios";"";"Entrega boleta de honorarios";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron totalmente";"No";"Insatisfecho";"Satisfecho";"Insatisfecho";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";"Afectó mi salud corporal y/o mental";"";"Ser contratada, trabajo estable y desarrollarme en investigación relacionada con educación";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Poco";"Interesado";"Muy interesado";"Poco";"";"Si";5;12;0;"Si";"No";"Si";"Si";"Licenciado";"Si";"Universidad Católica de Temuco";"Victoria";"Temuco";28;"Femenino";"No";"Si"
"4";"Trabajo dependiente remunerado";45;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En instalaciones regulares del empleador";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Muy Satisfecho";"Muy Satisfecho";"Muy Satisfecho";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Todo siguió igual";NA;NA;NA;NA;NA;"";"Mantenerme realizando mis funciones actuales en mi trabajo, donde ejerzo la profesión.";"Interesado";"Muy interesado";"Interesado";"Interesado";"Interesado";"Interesado";"Muy interesado";"Interesado";"Muy interesado";"";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Unap";"Iquique";"Iquique";40;"Femenino";"Si";NA
"5";"Trabajo dependiente remunerado";NA;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Insatisfecho";"Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;"Tuvo consecuencias emocionales";NA;"";"";"Interesado";"Poco";"Muy interesado";"Indiferente";"Interesado";"Interesado";"Interesado";"Indiferente";"Nada";"";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"ARCIS";"Valparaíso";"Viña del Mar";37;"Femenino";"No";"Si"
"6";"Desempleado";NA;NA;"";NA;NA;"";NA;"";"Disminuyeron totalmente";"Si";"Disminuyeron totalmente";"Si";"Muy insatisfecho";"Insatisfecho";"Insatisfecho";NA;NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;"Perdí mi trabajo";NA;NA;NA;NA;"";"Organizacional, datos, métodológico";"Poco";"Muy interesado";"Interesado";"Interesado";"Interesado";"Poco";"Interesado";"Interesado";"Indiferente";"";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"Universidad católica de temuco";"Temuco";"Temuco";26;"Femenino";"No";"Si"
"7";"Trabajo dependiente remunerado";10;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Investigación";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Se mantuvieron igual";"No";"Insatisfecho";"Muy Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"contrato, investigación";"Interesado";"Interesado";"Interesado";"Muy interesado";"Muy interesado";"Indiferente";"Interesado";"Muy interesado";"Indiferente";".";"Si";2;1;1;"No";"No";"Si";"No";"Licenciado";"Si";"Andrés Bello";"Quillita";"Quillota";26;"Femenino";"No";"No"
"8";"Trabajo dependiente remunerado";44;"Contrato indefinido";"";"Recibe una liquidación de sueldo";"Gobierno";"";"En mi hogar en modalidad teletrabajo";"";"Se mantuvieron igual";"No";"Se mantuvieron igual";"No";"Satisfecho";"Satisfecho";"Satisfecho";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";NA;NA;NA;NA;NA;"Afectó mi salud corporal y/o mental";"";"";"Indiferente";"Muy interesado";"Muy interesado";"Indiferente";"Indiferente";"Nada";"Interesado";"Muy interesado";"Interesado";"";"No";NA;NA;NA;NA;NA;NA;NA;"Licenciado";"Si";"UCSH";"Puente alto";"Puente alto";50;"Masculino";"No";"Si"
"9";"Trabajo independiente remunerado";8;"Informal (sin formalización de contrato)";"";"Entrega boleta de honorarios";"Proyectos sociales";"";"En mi hogar en modalidad teletrabajo";"";"Disminuyeron totalmente";"No";"Disminuyeron levemente";"No";"Insatisfecho";"Muy insatisfecho";"Insatisfecho";"Todo siguió igual";NA;NA;"Provocó un bajón anímico";NA;NA;"";NA;"Perdí mi trabajo";NA;"Provocó un bajón anímico";"Tuvo consecuencias emocionales";NA;"";"Independencia, asesorías,";"Muy interesado";"Indiferente";"Muy interesado";"Muy interesado";"Muy interesado";"Poco";"Interesado";"Interesado";"Poco";"Volver al trabajo comunitario y desarrollo local comunitario";"Si";8;5;1;"No";"No";"Si";"Si";"Magíster";"No";"Universidad Arcis";"Macul";"Macul";43;"Masculino";"No";"Si"
"10";"Trabajo dependiente remunerado";44;"Contrata renovable";"";"Recibe una liquidación de sueldo";"Educación o capacitación";"";"En mi hogar en modalidad teletrabajo";"";"Aumentaron";"No";"Aumentaron";"No";"Indiferente";"Satisfecho";"Indiferente";NA;NA;"Encontré trabajo";NA;NA;NA;"";NA;"Perdí mi trabajo";"Encontré trabajo";NA;NA;NA;"";"Entusiasmo";"Muy interesado";"Muy interesado";"Interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Muy interesado";"Poco";"Metodologías ambientales y participación";"Si";6;6;3;"Si";"Si";"Si";"Si";"Licenciado";"Si";"Arcis";"Independencia";"San José de maipo";40;"Masculino";"No";"Si"
