Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;;;;Proyectos sociales e intervención social;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Recolección de datos de investigación;1;3;0;1;0;0;1;0;Licenciado;1;Universidad central;Antofagasta;Estoy desempleada;34;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;;Nuevas conversaciones;;;;;Tuvo consecuencias emocionales;;;Salud laboral;Muy interesado;Muy interesado;Poco interés;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;"Salud laboral
Sociología del trabajo";0;;;;;;;;Licenciado;1;Artes y ciencias SOCIALES ARCIS;Viña del mar;Viña del mar;35;Masculino;0;1
Trabajo independiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Ser contratada, trabajo estable y desarrollarme en investigación relacionada con educación;Interesado;Muy interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Muy interesado;Poco interés;;1;5;12;0;1;0;1;1;Licenciado;1;Universidad Católica de Temuco;Victoria;Temuco;28;Femenino;0;1
Trabajo dependiente remunerado;45;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En instalaciones regulares del empleador;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Mantenerme realizando mis funciones actuales en mi trabajo, donde ejerzo la profesión.;Interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Muy interesado;;0;;;;;;;;Licenciado;1;Unap;Iquique;Iquique;40;Femenino;1;
Trabajo dependiente remunerado;;Contrata renovable;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Insatisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;;;;Interesado;Poco interés;Muy interesado;Indiferente;Interesado;Interesado;Interesado;Indiferente;Nada de Interés.;;0;;;;;;;;Licenciado;1;ARCIS;Valparaíso;Viña del Mar;37;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Insatisfecho;Insatisfecho;;;;Provocó un bajón anímico;;;;;Perdí mi trabajo;;;;;;Organizacional, datos, métodológico;Poco interés;Muy interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Indiferente;;0;;;;;;;;Licenciado;1;Universidad católica de temuco;Temuco;Temuco;26;Femenino;0;1
Trabajo dependiente remunerado;10;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Se mantuvieron igual;0;Insatisfecho;Muy Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;contrato, investigación;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Indiferente;.;1;2;1;1;0;0;1;0;Licenciado;1;Andrés Bello;Quillita;Quillota;26;Femenino;0;0
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Gobierno;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;;Indiferente;Muy interesado;Muy interesado;Indiferente;Indiferente;Nada de Interés.;Interesado;Muy interesado;Interesado;;0;;;;;;;;Licenciado;1;UCSH;Puente alto;Puente alto;50;Masculino;0;1
Trabajo independiente remunerado;8;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron levemente;0;Insatisfecho;Muy insatisfecho;Insatisfecho;Todo siguió igual;;;Provocó un bajón anímico;;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Independencia, asesorías,;Muy interesado;Indiferente;Muy interesado;Muy interesado;Muy interesado;Poco interés;Interesado;Interesado;Poco interés;Volver al trabajo comunitario y desarrollo local comunitario;1;8;5;1;0;0;1;1;Magíster;0;Universidad Arcis;Macul;Macul;43;Masculino;0;1
Trabajo dependiente remunerado;44;Contrata renovable;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron;0;Indiferente;Satisfecho;Indiferente;;;Encontré trabajo;;;;;;Perdí mi trabajo;Encontré trabajo;;;;;Entusiasmo;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Poco interés;Metodologías ambientales y participación;1;6;6;3;1;1;1;1;Licenciado;1;Arcis;Independencia;San José de maipo;40;Masculino;0;1
